played_at,track_name,explicit,duration_ms,type,playlist_url
2017-05-22T20:03:11.302Z,People Everywhere (Still Alive),FALSE,159013,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZEVXcGxnwyDbJhDT
2017-05-16T18:54:21.709Z,Hiding,FALSE,271160,playlist,NA
2017-04-24T12:56:50.292Z,Prism Riot,FALSE,70013,album,NA
2017-04-16T20:12:39.322Z,Free Your Mind,FALSE,439790,album,NA
2017-04-05T11:54:35.681Z,High And Low,FALSE,224840,playlist,NA
2017-04-12T21:19:40.931Z,Sunshine - The Knocks Remix,FALSE,324493,playlist,NA
2017-05-13T18:52:46.200Z,I'm Shouting Again,FALSE,227858,album,NA
2017-04-09T18:11:18.583Z,I Can't Be Satisfied,FALSE,164666,NA,NA
2017-04-02T21:12:37.455Z,It Takes Two,FALSE,301893,playlist,NA
2017-05-18T09:38:17.815Z,I Know You Got Soul,FALSE,288000,playlist,NA
2017-06-24T17:27:13.770Z,Farewell Ferengistan,FALSE,373540,playlist,https://open.spotify.com/user/1170891844/playlist/29XAftFCmwVBJ64ROX8gzA
2017-05-23T19:06:56.126Z,Babylon Falling,FALSE,236146,album,https://open.spotify.com/album/3naxO4ZMrfJqEpEKjkVvlH
2017-04-22T21:29:03.517Z,Jamari,FALSE,65756,playlist,NA
2017-05-10T08:59:53.195Z,Float On - feat. Force M.D.'s,FALSE,447400,album,NA
2017-06-24T18:40:15.121Z,"Run, Run, Run",FALSE,158266,playlist,https://open.spotify.com/user/1170891844/playlist/29XAftFCmwVBJ64ROX8gzA
2017-04-09T19:00:40.813Z,After Laughter (Comes Tears) - Sweet Tea,FALSE,208768,playlist,NA
2017-06-04T16:26:06.388Z,Dirty - Weird Acapella,FALSE,216066,album,https://open.spotify.com/album/1FptUZwFKpRFza1EfkIvOg
2017-06-21T20:44:53.090Z,Desperado - 3LAU Remix,FALSE,204413,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZEVXbd3n9ltn0q5v
2017-06-05T14:18:44.716Z,Transparent,FALSE,463106,playlist,https://open.spotify.com/user/snip3rwarface/playlist/0OEieW2vRqVZRraoFsw4Z4
2017-05-10T08:41:47.697Z,By Design,TRUE,257053,playlist,NA
2017-06-27T02:31:43.160Z,Rue Des Roses,FALSE,476473,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
2017-04-25T08:02:55.461Z,Storm,FALSE,268000,album,NA
2017-05-22T20:24:20.279Z,Serious Drug,TRUE,175586,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZEVXcGxnwyDbJhDT
2017-04-02T21:23:05.753Z,Hood Took Me Under,FALSE,219266,playlist,NA
2017-04-10T14:07:30.740Z,The bootleggers,FALSE,428265,playlist,NA
2017-06-12T08:21:53.119Z,Concrete Waves (Dj Premier 320 Remix),FALSE,232778,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZEVXcGxnwyDbJhDT
2017-05-16T09:43:04.995Z,Groovin',FALSE,179106,playlist,NA
2017-04-05T20:09:34.915Z,Feels so Good #2,FALSE,120920,album,NA
2017-06-10T10:13:48.498Z,Mirror Image,FALSE,342088,playlist,https://open.spotify.com/user/1253842/playlist/5yb4olonApvaO9LlmQXS88
2017-06-07T08:02:15.387Z,It Ain't Me (with Selena Gomez),FALSE,220780,playlist,https://open.spotify.com/user/1170891844/playlist/2owxd85nzUvvqI9zf7r4xp
2017-05-22T20:50:37.363Z,Just Can't Win,FALSE,243596,NA,NA
2017-05-12T09:50:49.498Z,"New York, New York",FALSE,168906,NA,NA
2017-04-10T19:59:50.200Z,The Other Side,FALSE,279266,album,NA
2017-04-21T19:48:23.534Z,Kalahari,FALSE,224646,album,NA
2017-05-29T13:04:42.007Z,Radio Entelechy,FALSE,452000,album,https://open.spotify.com/album/0Gpzpr7DcOXAWM3lXUR1bP
2017-05-09T18:06:01.630Z,Repeat,FALSE,225880,playlist,NA
2017-06-24T19:22:08.728Z,Lovesick,FALSE,207000,playlist,https://open.spotify.com/user/1170891844/playlist/29XAftFCmwVBJ64ROX8gzA
2017-05-23T18:50:17.770Z,Let The Chalice Blaze,FALSE,284026,album,https://open.spotify.com/album/3naxO4ZMrfJqEpEKjkVvlH
2017-06-21T10:01:41.557Z,Soul Surfing,FALSE,297453,album,https://open.spotify.com/album/2ELLu16F9TTREQuU4OuAnN
2017-05-18T20:29:01.769Z,Back Of My Hand,FALSE,241746,NA,NA
2017-06-02T13:12:19.491Z,There Was Evolution,FALSE,207346,playlist,https://open.spotify.com/user/snip3rwarface/playlist/0QjPZU2mNSeDJTKisb9kNw
2017-06-06T08:34:45.486Z,Element,FALSE,401826,playlist,https://open.spotify.com/user/snip3rwarface/playlist/0OEieW2vRqVZRraoFsw4Z4
2017-06-28T19:19:13.613Z,Run The Line,FALSE,320906,album,https://open.spotify.com/album/2ELLu16F9TTREQuU4OuAnN
2017-06-07T13:23:34.067Z,Pastida,FALSE,414720,album,https://open.spotify.com/album/3APzha7n0cOFqWyk6rQJhj
2017-06-06T06:21:43.671Z,Into The New World - Sonic Species Remix,FALSE,383333,playlist,https://open.spotify.com/user/snip3rwarface/playlist/0OEieW2vRqVZRraoFsw4Z4
2017-05-02T21:36:51.217Z,School Days,FALSE,469333,NA,NA
2017-04-15T19:38:15.208Z,Smokestack Lightnin',FALSE,187493,playlist,NA
2017-04-14T10:47:16.870Z,Nanda,FALSE,291701,playlist,NA
2017-05-19T09:41:05.680Z,R.A.P.,FALSE,268035,playlist,NA
2017-06-25T23:28:23.731Z,Harvey and the Old Ones,FALSE,504760,album,https://open.spotify.com/album/3Q80KMSH6SIqx27qHkSQDa
2017-05-16T09:27:43.870Z,I Changed My Mind - Stereo Mcs Rattlesnake Mix,TRUE,270760,playlist,NA
2017-04-10T12:57:15.813Z,Outlaw,FALSE,218444,playlist,NA
2017-05-18T11:09:22.589Z,Alwayz Into Somethin',TRUE,265000,playlist,NA
2017-04-25T08:08:16.695Z,Kite,FALSE,320816,album,NA
2017-04-24T15:27:57.581Z,Too Old To Die Young,FALSE,223213,NA,NA
2017-04-21T08:53:12.102Z,Second and Dryades,FALSE,166186,album,NA
2017-06-26T22:13:28.481Z,Airfia,FALSE,472000,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
2017-04-25T08:17:44.401Z,Hope,FALSE,262857,album,NA
2017-05-28T12:01:16.002Z,Let's Ride,TRUE,237680,playlist,https://open.spotify.com/user/1170891844/playlist/5ZSewQun1V59quoFUx23UF
2017-05-12T08:10:58.053Z,Did'n You,FALSE,291733,album,NA
2017-04-04T11:28:47.135Z,Jungle Boogie,FALSE,186533,NA,NA
2017-04-14T22:09:52.008Z,Dirty Diana,FALSE,280760,playlist,NA
2017-04-05T09:17:37.221Z,Mine,FALSE,335906,artist,NA
2017-04-09T21:54:50.587Z,Too Experienced,FALSE,202240,playlist,NA
2017-04-03T20:34:03.957Z,The Edge - 2001 Digital Remaster,FALSE,173666,playlist,NA
2017-06-05T09:47:27.907Z,Get a Life (feat. Bobby Womack) - Regrind 09,FALSE,237979,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZEVXcGxnwyDbJhDT
2017-04-02T22:01:19.756Z,La Raza,FALSE,207413,playlist,NA
2017-05-28T16:34:06.120Z,Troublemakers,FALSE,154230,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX55dNU0PWnO5
2017-04-15T19:31:35.462Z,The Man Who Hated Mornings,FALSE,247200,playlist,NA
2017-05-10T07:41:22.522Z,Tell It,FALSE,711093,album,NA
2017-05-18T21:49:02.682Z,A Tribute To My Friend Joe,FALSE,234000,NA,NA
2017-04-18T08:36:54.291Z,Getting Nasty,FALSE,187973,playlist,NA
2017-05-09T19:43:44.035Z,Fade to Nothing,FALSE,222946,playlist,NA
2017-04-15T21:34:20.604Z,Nine Hearts,FALSE,202506,album,NA
2017-05-23T19:55:41.432Z,Who We Are,FALSE,462978,album,https://open.spotify.com/album/7FdYygnIiC13bjg22njm9m
2017-05-28T15:10:07.387Z,Enter the Void,FALSE,174893,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX55dNU0PWnO5
2017-06-24T18:48:36.103Z,Insane in the Brain,FALSE,202013,playlist,https://open.spotify.com/user/1170891844/playlist/29XAftFCmwVBJ64ROX8gzA
2017-05-13T20:06:23.682Z,I Didn't Know What Time It Was,FALSE,539266,NA,NA
2017-06-19T09:10:40.097Z,Gonna Move,FALSE,275013,playlist,https://open.spotify.com/user/1170891844/playlist/6LLD97iHPZRTGXixrrkqq5
2017-04-25T18:51:26.118Z,Regenesis,FALSE,373080,playlist,NA
2017-04-14T20:38:07.822Z,A String of Pearls - Remastered,FALSE,194733,album,NA
2017-04-05T20:07:33.591Z,Meet Me in the City,FALSE,151360,album,NA
2017-05-12T15:57:14.571Z,A Spring Fantasy,FALSE,361146,playlist,NA
2017-04-10T18:01:18.172Z,A New London Eye,FALSE,288653,album,NA
2017-05-12T07:47:39.758Z,On the Sunny Side of the Street,FALSE,184933,album,NA
2017-04-05T08:14:42.656Z,Smokestack Lightnin',FALSE,187800,NA,NA
2017-04-22T20:57:47.794Z,Panoramic,FALSE,63999,playlist,NA
2017-04-22T21:38:44.797Z,Luxurious Strategy,FALSE,76800,playlist,NA
2017-04-24T11:27:32.725Z,What's My Name?,FALSE,388546,playlist,NA
2017-04-11T21:25:26.894Z,Bring Me My Shotgun,FALSE,241493,NA,NA
2017-06-10T11:15:09.330Z,Sweet Harmony,FALSE,368560,playlist,https://open.spotify.com/user/1253842/playlist/5yb4olonApvaO9LlmQXS88
2017-04-21T15:29:39.817Z,Give Me Water,FALSE,200314,playlist,NA
2017-04-21T08:23:37.270Z,Rockafeller Skank,FALSE,413880,album,NA
2017-04-21T06:52:45.942Z,Heygana,FALSE,358626,playlist,NA
2017-06-04T16:38:10.027Z,Stealth - Quivver Mix,FALSE,499200,album,https://open.spotify.com/album/1FptUZwFKpRFza1EfkIvOg
2017-05-25T08:57:09.962Z,#!*@ Me - Interlude,TRUE,91093,album,https://open.spotify.com/album/2HTbQ0RHwukKVXAlTmCZP2
2017-04-03T19:53:55.465Z,The Godfather,TRUE,293733,playlist,NA
2017-04-14T20:07:24.124Z,Back Up,TRUE,241266,playlist,NA
2017-04-24T13:23:29.480Z,Why Did You Do It,FALSE,209160,NA,NA
2017-05-22T09:03:30.440Z,"Les ""Là-bas""",FALSE,184426,playlist,NA
2017-04-21T08:43:55.156Z,I Got It,FALSE,234946,album,NA
2017-05-20T18:05:10.476Z,Lost Myself,FALSE,303200,playlist,NA
2017-04-21T13:49:05.365Z,Crystalised,FALSE,201946,playlist,NA
